Transaction_id,Sender,Receiver,Amount,Currency,Country,Transaction Type,Description,Date,Transaction Flow,Is_Suspicious,Suspicion Category
060881bc-2a42-42c4-83db-c16dac159104,Royal Resources Corp,Global Resources AG,9829.6,JPY,United Kingdom,WIRE,"Service charge - SC-2025-3194, Inv SERV-2025083194",2023-08-21,Internal,False,Normal
f2d4d6de-f310-4cc5-8a02-9cb3c8c14d10,World Consulting Inc,World Maritime GmbH,1866.87,GBP,United States,WIRE,"Cargo consolidation - CC-2025-3401, Inv: CONS-2025103401",2023-11-16,Internal,False,Normal
89f159a4-5d6f-4d3f-8750-c3d34ec1f456,Beta Holdings Ltd,Prime Holdings Corp,3288.09,JPY,Germany,WIRE,"Renewable incentive fee - RIF-2025-8767, Inv: INCENT-2025128767",2023-04-15,Internal,False,Normal
6e72b30d-18bb-40de-9273-8a92193f1837,"VALUESOURCE INTERNATIONAL TRADE CO.,LTD.",Pacific Global S.A.,3974.96,CHF,United Kingdom,WIRE,"Formwork rental - FRNT-2025-8791, Inv: RENT-2025018791",2023-10-14,Internal,False,Normal
dc1ad644-bac3-497a-bb27-33783e7abb29,Universal Finance Pte Ltd,New Southern Partners,7968.44,CHF,Germany,WIRE,"Wind tune-up - WTT-2025-3522, Inv: TUNE-2025073522",2023-05-12,Internal,False,Normal
2a1ce1d0-80fe-4651-88c9-7fbd87b276c1,Premier Northern Holdings,Universal Maritime Limited,4949.97,CHF,Germany,WIRE,"Highway toll aggregator - TOLL-2025-6118, Invoice HWTL-2025066118",2023-08-18,Internal,False,Normal
d422484b-9e62-4394-81f6-d2f3e20d7af1,Continental International Inc,Universal Resources AG,9899.04,GBP,United Kingdom,WIRE,"Utility expense - UE-2025-4690, Inv UTIL-2025024690",2023-05-25,Internal,False,Normal
c12f5285-1614-4694-b9df-4438b4b73301,Crown Logistics Corp,Summit Services GmbH,1731.47,GBP,United Kingdom,WIRE,"Grid sensor install - GSI-2025-6756, Inv: SENSOR-2025046756",2023-12-01,Internal,False,Normal
37c0f9be-5de3-4da7-9e3e-bef2328cae18,Premier Asia Trading,First Southern Global,7718.56,CHF,Germany,WIRE,"Data center migration => dataRef DATAMIG-2025012753, DC ID: DCTM-2753-2025",2023-02-12,Internal,False,Normal
49897047-3d87-4df2-bf5f-47e73cdaedcb,Royal Development AG,Summit Maritime Pte Ltd,4349.17,EUR,Germany,WIRE,"Ambulatory equipment order - AEO-2025-9412, Inv: ORDER-2025049412",2023-01-05,Internal,False,Normal
b4566513-a23c-4b94-903c-0b18ae53a7bb,Royal Development Limited,Global Energy GmbH,9858.8,GBP,United States,WIRE,"Loyalty fee - LF-2025-9425, Inv LOY-2025039425",2023-05-17,Internal,False,Normal
83477f5d-19f1-4057-bcce-79915f4951dd,First European Global,Delta Partners LLC,2748.32,JPY,United States,WIRE,"Freight package fee - FPF-2025-5445, Inv: PACK-2025085445",2023-06-16,Internal,False,Normal
0861ceb6-f59d-4c21-9945-896d69edf0de,Alpha Group Limited,Crown Resources GmbH,1689.58,USD,United States,WIRE,"Patient support service - PSS-2025-9351, Inv: SUPP-2025019351",2023-05-29,Internal,False,Normal
2904714f-8275-47d4-b427-3c8e307aab46,Premier Continental Trading,Summit Development GmbH,7925.35,CHF,United Kingdom,WIRE,"Insulation installation - INSUL-2025-4450, Inv: INSTALL-2025114450",2023-01-17,Internal,False,Normal
25edd616-98e2-4c08-b7dc-be27967a9cc7,Universal Consulting AG,First European Trading,1572.04,GBP,United Kingdom,WIRE,"Digital transformation roadmap - Project: DIG-2025-2306, Invoice: TRANS-2025082306",2023-02-02,Internal,False,Normal
8b3511bf-fb9c-4c85-ae9e-4175fd490aef,Alpha Group AG,New Pacific Capital,5993.92,JPY,United States,WIRE,"Healthcare maintenance - HCM-2025-3362, Inv: MAIN-2025033362",2023-06-12,Internal,False,Normal
