mode,variant,algo,waves,roc_auc_mean,pr_auc_mean,precision@R_mean,recall@thr_mean,FP_per_1000_mean
full_retrain,adasyn,GBM,4.0,0.9919613507771791,0.919591249888388,0.5339765392937035,1.0,66.83168316831683
full_retrain,adasyn,RF,4.0,0.9959704819192214,0.9022784182864196,0.7183220284237726,1.0,24.257425742574256
full_retrain,adasyn,XGB,4.0,0.9976758983168856,0.967286416078466,0.6632011182946007,1.0,24.133663366336634
full_retrain,baseline,GBM,4.0,0.9764330431790312,0.9192317579218147,0.5435734942009407,1.0,251.23762376237624
full_retrain,baseline,RF,4.0,0.9974763239966326,0.9685126036898425,0.6419687277896232,1.0,26.361386138613863
full_retrain,baseline,XGB,4.0,0.9955622525997746,0.9030338760717105,0.6073860660031429,1.0,27.599009900990097
full_retrain,smote,GBM,4.0,0.9914469551166443,0.9241892005299532,0.6901866084512097,1.0,67.32673267326734
full_retrain,smote,RF,4.0,0.996552291064582,0.9322018881527749,0.7084978070175438,1.0,23.886138613861384
full_retrain,smote,XGB,4.0,0.9977382755529868,0.9696099776111043,0.7065075252899088,1.0,22.02970297029703
incremental,adasyn,GBM,4.0,0.9803132855558543,0.6701357053047405,0.2435997392847252,1.0,94.3069306930693
incremental,adasyn,RF,4.0,0.9907378445114435,0.8057779167972778,0.41436257501875473,1.0,52.97029702970297
incremental,adasyn,XGB,4.0,0.9949147304377508,0.8686341394577419,0.4388348841709949,1.0,33.53960396039604
incremental,baseline,GBM,4.0,0.9728348571179434,0.8487342369080664,0.5389517899158337,1.0,257.4257425742574
incremental,baseline,RF,4.0,0.9927780827906025,0.8899198625751111,0.4649575283367722,1.0,87.87128712871286
incremental,baseline,XGB,4.0,0.9899211980050325,0.838674985263898,0.3241713942015147,1.0,50.742574257425744
incremental,smote,GBM,4.0,0.9854131858173921,0.781490621938171,0.30062186013809133,1.0,91.95544554455445
incremental,smote,RF,4.0,0.9916295014259979,0.8421725456117171,0.3364221364221365,1.0,63.73762376237623
incremental,smote,XGB,4.0,0.9958287441670132,0.8923692702779853,0.44072146731635076,1.0,31.806930693069305
