Transaction_id,Sender,Receiver,Amount,Currency,Country,Transaction Type,Description,Date,Transaction Flow,Is_Suspicious,Suspicion Category
e15ad4eb-8b96-4cfb-9af3-0022f0396011,Omega Ventures Pte Ltd,European Trading AG,2609.73,EUR,United States,WIRE,"Logistics management platform - LOGM-2025-6863, BillRef DIST-2025086863",2023-07-29,Internal,False,Normal
b6bb5e46-46e9-403d-abb2-b3384bdb71c4,New Pacific Partners,Universal Consulting LLC,1460.96,USD,United States,WIRE,"Fiber splice repair - FSR-2025-3342, Inv: SPLICE-2025103342",2023-09-02,Internal,False,Normal
45238367-6653-4d17-a291-d977b43314cb,Northern Solutions LLC,Royal Services Ltd,8572.34,GBP,United States,WIRE,"Medical waste disposal contract - WST-2025-6872, docRef ENV-2025126872",2023-02-22,Internal,False,Normal
f928c9a5-dc31-454a-8377-d0a2c28a20bf,Alpha Group S.A.,Premier Southern Investments,1314.09,GBP,Germany,WIRE,"Health safety audit - HSA-2025-6927, Inv: AUDIT-2025056927",2023-03-13,Internal,False,Normal
e29964d0-ef7e-466d-9545-c3623ea011f5,Beta Consulting LLC,Beta Consulting Corp,2084.32,USD,United States,WIRE,License Renewal: Invoice 2025063357 / License No: SFT-2025-3357,2023-02-12,Internal,False,Normal
0d427ff5-b3e1-471f-b843-7683411f8ac8,Premier Continental Capital,Premier Northern Partners,3575.96,GBP,United States,WIRE,"Ambulatory equipment order - AEO-2025-5798, Inv: ORDER-2025055798",2023-10-31,Internal,False,Normal
3e6dd869-6d31-422b-b56c-1c8b096a7377,Global Maritime Limited,Delta Holdings Pte Ltd,1943.67,JPY,United Kingdom,WIRE,"Bond issuance => BOND-2025101066, BND-1066-2025",2023-06-10,Internal,False,Normal
a8ffb2e7-ad2f-4799-a44c-b95861ffa3db,Global Trade Corp,Eastern Solutions Limited,2597.75,CHF,United States,WIRE,"Exec coaching => EXE-2025084937, Program LDR-2025-4937",2023-09-28,Internal,False,Normal
3c17d9b7-f6a7-4361-b6f3-5dfd4790419f,Global Trade Corp,Elite Resources AG,2100.2,CHF,United Kingdom,WIRE,"Cybersecurity services - Security ID: SEC-2025-9259, Invoice: CYB-2025099259",2023-04-07,Internal,False,Normal
511ccfc0-3778-42c8-81bd-4a9a3c8e5b13,Global Resources GmbH,Royal Solutions AG,7205.74,GBP,United Kingdom,WIRE,"Capacity upgrade fee - CUF-2025-6500, Inv: UPG-2025086500",2023-03-26,Internal,False,Normal
