variant,algo,score,waves,roc_auc_mean,pr_auc_mean,brier_mean,precision@R_mean,recall@thr_mean,FP_per_1000_mean
adasyn,GBM,platt,4.0,0.9952979833332025,0.9227179182957902,0.013764070735068117,0.6979166666666666,0.4587233169129721,0.6188118811881188
adasyn,GBM,raw,4.0,0.9952979833332025,0.9227179182957902,0.012308396255173472,0.6979166666666666,0.4587233169129721,0.6188118811881188
adasyn,RF,platt,4.0,0.9963801423154964,0.9279919567065652,0.004007245089021062,0.0,0.0,0.0
adasyn,RF,raw,4.0,0.9963801423154964,0.9279919567065651,0.007741940594059406,0.0,0.0,0.0
adasyn,XGB,platt,4.0,0.997204739633336,0.968828391047569,0.0062714324503502636,0.75,0.33770525451559935,0.0
adasyn,XGB,raw,4.0,0.997204739633336,0.968828391047569,0.007405597204233863,0.75,0.33770525451559935,0.0
baseline,GBM,platt,4.0,0.9799801194149506,0.9314810403581794,0.0042121882397793175,0.8205128205128205,0.7541871921182266,6.930693069306931
baseline,GBM,raw,4.0,0.9799801194149507,0.9314810403581794,0.004716183058470387,0.8205128205128205,0.7541871921182266,6.930693069306931
baseline,RF,platt,4.0,0.9973623852012501,0.9639732118545139,0.008708888183833747,0.98,0.802196223316913,0.24752475247524752
baseline,RF,raw,4.0,0.9973623852012501,0.963973211854514,0.005296051705170517,0.98,0.802196223316913,0.24752475247524752
baseline,XGB,platt,4.0,0.9965052259821261,0.9145093840485873,0.003813060537319575,0.8888888888888888,0.8056855500821019,2.4752475247524752
baseline,XGB,raw,4.0,0.9965052259821261,0.9145093840485873,0.004467091764880842,0.8888888888888888,0.8056855500821019,2.4752475247524752
smote,GBM,platt,4.0,0.9894474302607327,0.9207468551951968,0.019782251311094148,0.8532608695652174,0.5134646962233169,3.3415841584158414
smote,GBM,raw,4.0,0.9894474302607327,0.9207468551951971,0.019202736280423505,0.8532608695652174,0.5134646962233169,3.3415841584158414
smote,RF,platt,4.0,0.9966861174762642,0.9359523104120182,0.0037875285434464103,0.0,0.0,0.0
smote,RF,raw,4.0,0.9966861174762643,0.9359523104120181,0.007163826897689769,0.0,0.0,0.0
smote,XGB,platt,4.0,0.9973092243337524,0.9689593216087848,0.013474342679971342,0.75,0.5075738916256158,0.0
smote,XGB,raw,4.0,0.9973092243337524,0.9689593216087848,0.009937233257376756,0.75,0.5075738916256158,0.0
