variant,algo,test_wave,score,roc_auc,pr_auc,brier,thr@R>=0.98,precision@R,recall@thr,FP_per_1000
baseline,GBM,synthetic_transactions_structured_100_2,raw,0.920342082616179,0.7480147714894465,0.013846964865760267,0.22557972734050194,0.28205128205128205,0.7857142857142857,27.722772277227723
baseline,GBM,synthetic_transactions_structured_100_2,platt,0.9203420826161789,0.7480147714894465,0.007940267074516241,0.008417164066319097,0.28205128205128205,0.7857142857142857,27.722772277227723
baseline,XGB,synthetic_transactions_structured_100_2,raw,0.9919678714859438,0.8674854764353169,0.008663208522466255,0.5538626909255981,0.5555555555555556,0.8928571428571429,9.900990099009901
baseline,XGB,synthetic_transactions_structured_100_2,platt,0.9919678714859438,0.8674854764353169,0.004546621182551168,0.12046452342495638,0.5555555555555556,0.8928571428571429,9.900990099009901
baseline,RF,synthetic_transactions_structured_100_2,raw,0.9899688037865748,0.8757227251426704,0.008007434763476349,0.26666666666666666,0.92,0.8214285714285714,0.9900990099009901
baseline,RF,synthetic_transactions_structured_100_2,platt,0.9899688037865748,0.8757227251426705,0.011664135876236915,0.02985793764924581,0.92,0.8214285714285714,0.9900990099009901
baseline,GBM,synthetic_transactions_structured_100_3,raw,0.9999999999999999,1.0,0.00168597165267127,0.6625471822903076,1.0,0.5,0.0
baseline,GBM,synthetic_transactions_structured_100_3,platt,0.9999999999999999,1.0,0.004856268139191992,0.289676135811038,1.0,0.5,0.0
baseline,XGB,synthetic_transactions_structured_100_3,raw,1.0,1.0000000000000002,0.0002029138561933411,0.5915570855140686,1.0,1.0,0.0
baseline,XGB,synthetic_transactions_structured_100_3,platt,1.0,1.0000000000000002,0.0008305024044407286,0.17334600626318716,1.0,1.0,0.0
baseline,RF,synthetic_transactions_structured_100_3,raw,1.0,1.0,0.003975805940594061,0.20333333333333334,1.0,1.0,0.0
baseline,RF,synthetic_transactions_structured_100_3,platt,1.0,1.0,0.007487649366770038,0.013946660725210882,1.0,1.0,0.0
baseline,GBM,synthetic_transactions_structured_100_4,raw,0.9999134034188331,0.9944683908045975,0.0009505579510888119,0.9561085154640143,1.0,0.9310344827586207,0.0
baseline,GBM,synthetic_transactions_structured_100_4,platt,0.9999134034188331,0.9944683908045975,0.001049756140350547,0.8995707268078136,1.0,0.9310344827586207,0.0
baseline,XGB,synthetic_transactions_structured_100_4,raw,0.9999826806837667,0.9988505747126435,0.0006973071348728208,0.6591430902481079,1.0,0.896551724137931,0.0
baseline,XGB,synthetic_transactions_structured_100_4,platt,0.9999826806837667,0.9988505747126435,0.0014523049278898422,0.31296838798564247,1.0,0.896551724137931,0.0
baseline,RF,synthetic_transactions_structured_100_4,raw,1.0,0.9999999999999999,0.00409871485148515,0.45666666666666667,1.0,0.6206896551724138,0.0
baseline,RF,synthetic_transactions_structured_100_4,platt,1.0,0.9999999999999999,0.008148312436624559,0.16262571345739885,1.0,0.6206896551724138,0.0
baseline,GBM,synthetic_transactions_structured_100_5,raw,0.9996649916247905,0.9834409991386736,0.0023812377643611968,0.7689020090854901,1.0,0.8,0.0
baseline,GBM,synthetic_transactions_structured_100_5,platt,0.9996649916247905,0.9834409991386736,0.0030024616050584917,0.6191997950544643,1.0,0.8,0.0
baseline,XGB,synthetic_transactions_structured_100_5,raw,0.994070351758794,0.7917014850463883,0.00830493754599095,0.8394996523857117,1.0,0.43333333333333335,0.0
baseline,XGB,synthetic_transactions_structured_100_5,platt,0.994070351758794,0.7917014850463883,0.008422813634396563,0.7859220715880126,1.0,0.43333333333333335,0.0
baseline,RF,synthetic_transactions_structured_100_5,raw,0.9994807370184254,0.9801701222753855,0.005102251265126511,0.36666666666666664,1.0,0.7666666666666667,0.0
baseline,RF,synthetic_transactions_structured_100_5,platt,0.9994807370184254,0.9801701222753854,0.007535455055703475,0.0669988163640053,1.0,0.7666666666666667,0.0
smote,GBM,synthetic_transactions_structured_100_2,raw,0.9582436890418818,0.7112798532187578,0.07292202417963793,0.9993665099989569,0.41304347826086957,0.6785714285714286,13.366336633663366
smote,GBM,synthetic_transactions_structured_100_2,platt,0.9582436890418818,0.7112798532187578,0.07506884223803273,0.996238975649056,0.41304347826086957,0.6785714285714286,13.366336633663366
smote,XGB,synthetic_transactions_structured_100_2,raw,0.989798479632817,0.9062104119988277,0.03448083367212666,0.9978278279304504,1.0,0.6785714285714286,0.0
smote,XGB,synthetic_transactions_structured_100_2,platt,0.989798479632817,0.9062104119988277,0.04685296609279107,0.9960023679258542,1.0,0.6785714285714286,0.0
smote,RF,synthetic_transactions_structured_100_2,raw,0.9869298623063685,0.7552386366684307,0.015306966776677668,0.97,0.0,0.0,0.0
smote,RF,synthetic_transactions_structured_100_2,platt,0.9869298623063683,0.7552386366684307,0.007405955672249004,0.9956181744817418,0.0,0.0,0.0
smote,GBM,synthetic_transactions_structured_100_3,raw,1.0,1.0000000000000002,0.00026691384098780167,0.9971445702928323,1.0,0.05,0.0
smote,GBM,synthetic_transactions_structured_100_3,platt,1.0,1.0,0.00010786651477144368,0.9975983083912905,1.0,0.05,0.0
smote,XGB,synthetic_transactions_structured_100_3,raw,0.9999750000000001,0.9976190476190478,0.0023602020147565376,0.9990222454071045,0.0,0.0,0.0
smote,XGB,synthetic_transactions_structured_100_3,platt,0.9999750000000001,0.9976190476190478,0.0036377795260359898,0.9977098751506387,0.0,0.0,0.0
smote,RF,synthetic_transactions_structured_100_3,raw,1.0,1.0,0.004180696149614961,0.9766666666666667,0.0,0.0,0.0
smote,RF,synthetic_transactions_structured_100_3,platt,1.0,1.0,0.0018724018202122624,0.9976093818905983,0.0,0.0,0.0
smote,GBM,synthetic_transactions_structured_100_4,raw,0.9999480420512998,0.9967672413793103,0.0008649918602376511,0.9983550609492342,1.0,0.7586206896551724,0.0
smote,GBM,synthetic_transactions_structured_100_4,platt,0.9999480420512998,0.9967672413793103,0.0009863504805322722,0.9981026439355856,1.0,0.7586206896551724,0.0
smote,XGB,synthetic_transactions_structured_100_4,raw,0.9999826806837666,0.9988505747126436,0.0006035560798402314,0.9992270469665527,1.0,0.5517241379310345,0.0
smote,XGB,synthetic_transactions_structured_100_4,platt,0.9999826806837666,0.9988505747126436,0.0005168446815216615,0.9981923438933646,1.0,0.5517241379310345,0.0
smote,RF,synthetic_transactions_structured_100_4,raw,0.9999653613675331,0.9976615140705507,0.003999209020902091,0.98,0.0,0.0,0.0
smote,RF,synthetic_transactions_structured_100_4,platt,0.9999653613675331,0.9976615140705508,0.002717247893439289,0.9982579700433292,0.0,0.0,0.0
smote,GBM,synthetic_transactions_structured_100_5,raw,0.9995979899497488,0.9749403261827196,0.0027570152408306395,0.9941557305413433,1.0,0.5666666666666667,0.0
smote,GBM,synthetic_transactions_structured_100_5,platt,0.9995979899497488,0.9749403261827196,0.0029659460110401355,0.9983531782391925,1.0,0.5666666666666667,0.0
smote,XGB,synthetic_transactions_structured_100_5,raw,0.9994807370184254,0.9731572521046206,0.0023043412627835936,0.9990882873535156,1.0,0.8,0.0
smote,XGB,synthetic_transactions_structured_100_5,platt,0.9994807370184254,0.9731572521046206,0.0028897804195366452,0.9985835226481811,1.0,0.8,0.0
smote,RF,synthetic_transactions_structured_100_5,raw,0.9998492462311557,0.9909090909090909,0.005168435643564357,0.9766666666666667,0.0,0.0,0.0
smote,RF,synthetic_transactions_structured_100_5,platt,0.9998492462311558,0.990909090909091,0.0031545087878850847,0.9984325180050072,0.0,0.0,0.0
adasyn,GBM,synthetic_transactions_structured_100_2,raw,0.9832006597819851,0.7650945116195185,0.0443126967598118,0.999289439056797,0.7916666666666666,0.6785714285714286,2.4752475247524752
adasyn,GBM,synthetic_transactions_structured_100_2,platt,0.9832006597819851,0.7650945116195185,0.04931179298041211,0.996219319544264,0.7916666666666666,0.6785714285714286,2.4752475247524752
adasyn,XGB,synthetic_transactions_structured_100_2,raw,0.9894219736087206,0.905820686675257,0.025724874480598667,0.997698962688446,1.0,0.6071428571428571,0.0
adasyn,XGB,synthetic_transactions_structured_100_2,platt,0.9894219736087206,0.905820686675257,0.02109202012686446,0.9957248816777831,1.0,0.6071428571428571,0.0
adasyn,RF,synthetic_transactions_structured_100_2,raw,0.9858093086632242,0.7303851339351698,0.017347833223322333,0.9666666666666667,0.0,0.0,0.0
adasyn,RF,synthetic_transactions_structured_100_2,platt,0.9858093086632245,0.7303851339351698,0.007762673269434902,0.9954786526091896,0.0,0.0,0.0
adasyn,GBM,synthetic_transactions_structured_100_3,raw,0.9999,0.9906926406926407,0.0010161165895490572,0.9985577975952361,0.0,0.0,0.0
adasyn,GBM,synthetic_transactions_structured_100_3,platt,0.9999,0.9906926406926407,0.001352128630977758,0.9972372104005517,0.0,0.0,0.0
adasyn,XGB,synthetic_transactions_structured_100_3,raw,1.0,1.0000000000000002,0.0001496348256069895,0.9990304708480835,0.0,0.0,0.0
adasyn,XGB,synthetic_transactions_structured_100_3,platt,1.0,1.0000000000000002,3.9570729763890344e-05,0.9975256574503978,0.0,0.0,0.0
